id,entity_type,name,aliases
ent_e1d0ada6,Company,Alphabet Inc.,"['Alphabet', 'Google', 'The Search Giant', 'Mountain View-based Company', 'GOOGL', 'Google’s Parent Company', 'The Tech Conglomerate', 'Sundar Pichai’s Company', 'Silicon Valley Titan', 'The Internet Leader']"
ent_579c6c8a,Company,Exxon Mobil Corporation,"['ExxonMobil', 'Exxon', 'The Oil Giant', 'Houston-based Company', 'XOM', 'The Energy Titan', 'America’s Oil Leader', 'The Fossil Fuel Company', 'Texas Oil Firm', 'The Petroleum Leader']"
ent_b6fc212d,Location,Washington D.C.,"['Washington', 'D.C.', 'The District', 'U.S. Capital', 'Nation’s Capital', 'The Capital City', 'The Beltway', 'The Federal City', 'District of Columbia', 'The Political Hub']"
ent_ca7d15f2,Location,New York City,"['New York', 'NYC', 'The Big Apple', 'Gotham', 'The City That Never Sleeps', 'The Empire City', 'The Five Boroughs', 'The Metropolis', 'America’s Financial Hub', 'The Concrete Jungle']"
ent_02ecf8e4,Location,California,"['The Golden State', 'CA', 'West Coast State', 'America’s Most Populous State', 'The Bear Republic', 'Silicon Valley’s Home', 'The Pacific State', 'The Tech Hub State', 'Western Powerhouse', 'The Sunshine State']"
ent_19fa7b2a,Location,Texas,"['The Lone Star State', 'TX', 'America’s Second Largest State', 'The Energy State', 'Southern Powerhouse', 'The Cowboy State', 'The Gulf Coast State', 'The Longhorn State', 'The Southwest Giant', 'The Oil State']"
ent_16a705ae,Location,Puerto Rico,"['PR', 'The Island of Enchantment', 'U.S. Territory', 'Borinquen', 'The Caribbean Territory', 'San Juan’s Home', 'The Commonwealth', 'America’s Island Territory', 'The Tropical U.S.', 'The Salsa Island']"
ent_1897931b,Person,Olaf Scholz,"['Chancellor Scholz', 'The Chancellor', 'German Chancellor', 'Mr. Scholz', 'Scholz', 'Head of the German Government', 'Bundeskanzler', 'Germany’s Leader', 'The Social Democrat Leader', 'Berlin’s Chancellor']"
ent_249338fd,Person,Frank-Walter Steinmeier,"['President Steinmeier', 'Federal President', 'German President', 'Mr. Steinmeier', 'Steinmeier', 'Bundespräsident', 'Germany’s Head of State', 'The German President', 'Berlin’s President', 'The Ceremonial Leader']"
ent_f83d2d65,Person,Annalena Baerbock,"['Foreign Minister Baerbock', 'Minister Baerbock', 'Germany’s Top Diplomat', 'The Green Party Minister', 'Ms. Baerbock', 'Baerbock', 'Außenministerin', 'Germany’s Foreign Policy Chief', 'The Green Diplomat', 'Berlin’s Foreign Minister']"
ent_1dd618df,Person,Robert Habeck,"['Vice Chancellor Habeck', 'Minister Habeck', 'Mr. Habeck', 'Habeck', 'The Green Vice Chancellor', 'Germany’s Economic Chief', 'The Climate Minister', 'The Green Leader', 'Berlin’s Vice Chancellor', 'Economy Minister']"
ent_01ad2cbc,Person,Christian Lindner,"['Finance Minister Lindner', 'Minister Lindner', 'Mr. Lindner', 'Lindner', 'Germany’s Financial Chief', 'The FDP Leader', 'The Finance Minister', 'Berlin’s Budget Chief', 'The Liberal Minister', 'Germany’s Fiscal Leader']"
ent_bf87933e,Company,Volkswagen AG,"['Volkswagen', 'VW', 'German Automaker', 'The Wolfsburg-based Company', 'The German Car Giant', 'VAG', 'The People’s Car Company', 'The VW Group', 'Germany’s Auto Leader', 'The Beetle Maker']"
ent_050069e6,Company,Siemens AG,"['Siemens', 'German Industrial Giant', 'The Munich-based Conglomerate', 'The Engineering Company', 'The German Multinational', 'Siemens Group', 'The Technology Giant', 'The Industrial Leader', 'Munich’s Tech Firm', 'The Automation Leader']"
ent_2d7054b8,Company,BMW Group,"['BMW', 'Bavarian Motor Works', 'The Munich Automaker', 'The German Luxury Carmaker', 'Bayerische Motoren Werke', 'The Automotive Giant', 'The Luxury Car Leader', 'The BMW Company', 'Germany’s Car Titan', 'The Ultimate Driving Machine']"
ent_fcdcadba,Company,Deutsche Bank AG,"['Deutsche Bank', 'The German Bank', 'Frankfurt-based Bank', 'The Financial Giant', 'Germany’s Banking Leader', 'DB', 'The Investment Bank', 'The Deutsche Group', 'Germany’s Financial Titan', 'The Global Bank']"
ent_4c60cde1,Company,Bayer AG,"['Bayer', 'The German Pharma Giant', 'Leverkusen-based Company', 'The Chemical Company', 'Germany’s Health Leader', 'The Aspirin Maker', 'The Biotech Firm', 'The Bayer Group', 'Germany’s Science Leader', 'The Life Sciences Company']"
ent_8a5a39b1,Location,Berlin,"['German Capital', 'Capital of Germany', 'The Federal Capital', 'Spree Athens', 'The City of Freedom', 'The German Metropolis', 'Hauptstadt', 'Germany’s Political Hub', 'The Reunified City', 'The Cultural Capital']"
ent_e07c55e9,Location,Bavaria,"['Bayern', 'Free State of Bavaria', 'Freistaat Bayern', 'Germany’s Largest State', 'Southern German State', 'The Alpine State', 'CSU Stronghold', 'The Bavarian Heartland', 'Germany’s Beer Country', 'The Munich Region']"
ent_7efe7354,Location,North Rhine-Westphalia,"['NRW', 'Nordrhein-Westfalen', 'Germany’s Most Populous State', 'Rhine-Ruhr State', 'Western German State', 'Germany’s Industrial Heartland', 'The Ruhr Region', 'The Economic Powerhouse', 'The West German Hub', 'The Coal and Steel State']"
ent_f242759d,Location,Hamburg,"['The Free and Hanseatic City', 'Hamburg City', 'Germany’s Port City', 'The Gateway to the World', 'The Elbe City', 'Northern German Hub', 'The Maritime Capital', 'The Trading City', 'Germany’s Second City', 'The Hanseatic Hub']"
ent_bc2ba5bc,Location,Saxony,"['Sachsen', 'Free State of Saxony', 'Eastern German State', 'The Dresden Region', 'The Cultural State', 'Germany’s Eastern Jewel', 'The Leipzig Hub', 'The Industrial East', 'The Saxon Heartland', 'The Border State']"
ent_fcfc121a,Location,China,"['China', 'The Dragon Country', 'The Middle Kingdom', 'Asia’s Giant', 'The World’s Second Economy', 'The Global Manufacturing Hub', 'The Asian Giant', 'The World’s Factory', 'The Economic Powerhouse', 'The World’s Second-largest Economy']"
